instance_id,n,scenario,time_scratch_sec,time_warm_sec,iter_scratch,iter_warm,speedup,status_scratch,status_warm
14,14,capacity,0.00021150000065972563,6.300000677583739e-06,8,0,33.5714250654403,optimal,optimal
14,14,value,0.00017549999938637484,3.5000011848751456e-06,6,0,50.14283999239143,optimal,optimal
14,14,volume,0.00014840000039839651,3.0499999411404133e-05,6,0,4.865573877450924,optimal,optimal
15,14,capacity,0.00021439999909489416,2.8100001145503484e-05,8,1,7.629892895189511,optimal,optimal
15,14,value,0.00022710000121151097,3.7999998312443495e-06,9,0,59.76316086760054,optimal,optimal
15,14,volume,0.00019409999913477805,5.4799998906673864e-05,9,1,3.5419708577975797,optimal,optimal
16,9,capacity,0.00015410000014526304,5.800000508315861e-06,6,0,26.568963213765105,optimal,optimal
16,9,value,0.0001508999994257465,3.4000004234258085e-06,6,0,44.38234724503389,optimal,optimal
16,9,volume,0.00013190000026952475,7.00999989931006e-05,6,2,1.881597748418037,optimal,optimal
17,13,capacity,0.00023999999939405825,7.210000148916151e-05,10,2,3.3287100476708926,optimal,optimal
17,13,value,0.0004731999997602543,1.1000000085914508e-05,9,0,43.01818146039713,optimal,optimal
17,13,volume,0.00030810000134806614,9.76999999693362e-05,10,3,3.153531232802102,optimal,optimal
18,21,capacity,0.00039169999945443124,2.680000034160912e-05,16,1,14.615671435133752,optimal,optimal
18,21,value,0.0004091000009793788,4.020000051241368e-05,17,2,10.176616810068188,optimal,optimal
18,21,volume,0.00030499999957100954,6.340000072668772e-05,15,1,4.81072549014376,optimal,optimal
19,14,capacity,0.0002902000014728401,2.469999890308827e-05,13,1,11.748988435645478,optimal,optimal
19,14,value,0.00025400000049558,6.399999620043673e-06,11,0,39.68750243360901,optimal,optimal
19,14,volume,0.00022730000091542024,0.00015840000014577527,10,3,1.4349747519333107,optimal,optimal
20,19,capacity,0.0004619000010279706,2.719999974942766e-05,20,1,16.98161784129023,optimal,optimal
20,19,value,0.0004577999989123782,3.99999953515362e-06,21,0,114.45001302851311,optimal,optimal
20,19,volume,0.00030220000007830095,0.0002685999988898402,15,12,1.125093080146441,optimal,optimal
21,11,capacity,0.00019830000019283034,2.5800000003073364e-05,8,1,7.686046518186369,optimal,optimal
21,11,value,0.00018959999943035655,5.899999450775795e-06,8,0,32.13559611525488,optimal,optimal
21,11,volume,0.00014860000010230578,7.069999992381781e-05,7,2,2.101838759015961,optimal,optimal
22,4,capacity,7.989999903657008e-05,5.699999746866524e-06,3,0,14.017544313136806,optimal,optimal
22,4,value,8.509999861416873e-05,3.2899999496294186e-05,3,1,2.58662613729688,optimal,optimal
22,4,volume,8.879999950295314e-05,2.7900001441594213e-05,2,0,3.1827955166542488,optimal,optimal
23,14,capacity,0.00035850000131176785,6.100000064179767e-05,15,3,5.87704913999822,optimal,optimal
23,14,value,0.00030449999940174166,2.240000139863696e-05,13,1,13.593749124509898,optimal,optimal
23,14,volume,0.00022230000104173087,0.00030279999919002876,10,12,0.7341479578479841,optimal,optimal
24,19,capacity,0.0004460000000108266,2.4599999960628338e-05,21,1,18.13008133026984,optimal,optimal
24,19,value,0.00042670000038924627,6.199999916134402e-06,20,0,68.822581638886,optimal,optimal
24,19,volume,0.0002922000003309222,0.00018789999921864364,15,8,1.5550824989142937,optimal,optimal
25,14,capacity,0.0002780999984679511,3.000000106112566e-05,10,1,9.269999621043887,optimal,optimal
25,14,value,0.0002844000009645242,3.149999974993989e-05,9,1,9.028571530863804,optimal,optimal
25,14,volume,0.0001914000004035188,9.610000051907264e-05,9,2,1.9916753316305371,optimal,optimal
26,12,capacity,0.00019389999943086877,2.4900000425986946e-05,8,1,7.7871484382990035,optimal,optimal
26,12,value,0.00020960000074410345,3.7999998312443495e-06,9,0,55.157897382186924,optimal,optimal
26,12,volume,0.0001661000005697133,0.00010509999992791563,8,4,1.5803996259147042,optimal,optimal
27,18,capacity,0.0003254999992350349,2.6199999410891905e-05,14,1,12.423664372286877,optimal,optimal
27,18,value,0.00033149999944726005,6.000000212225132e-06,15,0,55.24999795363699,optimal,optimal
27,18,volume,0.00020929999845975544,0.00022449999960372224,10,9,0.9322939814218388,optimal,optimal
28,16,capacity,0.00028340000062598847,4.220000118948519e-05,11,1,6.715639635967643,optimal,optimal
28,16,value,0.0002889000006689457,6.50000038149301e-06,11,0,44.44615134046918,optimal,optimal
28,16,volume,0.00021580000066023786,0.00020020000010845251,10,8,1.0779220806360363,optimal,optimal
29,13,capacity,0.00024650000159454066,5.800000508315861e-06,11,0,42.49999655019281,optimal,optimal
29,13,value,0.00022639999951934442,5.399999281507917e-06,10,0,41.925931415332265,optimal,optimal
29,13,volume,0.00020939999922120478,0.00012450000031094532,9,5,1.681927700387287,optimal,optimal
30,18,capacity,0.00030169999990903307,2.370000038354192e-05,13,1,12.729957596057414,optimal,optimal
30,18,value,0.0003039999992324738,5.199999577598646e-06,13,0,58.461543062828596,optimal,optimal
30,18,volume,0.00021159999960218556,0.00019499999871186446,10,7,1.0851282102562962,optimal,optimal
31,11,capacity,0.00022149999858811498,6.599999323952943e-06,8,0,33.56060928434335,optimal,optimal
31,11,value,0.00019590000010794029,7.200000254670158e-06,8,0,27.208332385943052,optimal,optimal
31,11,volume,0.0001706000002741348,0.00010870000005525071,8,3,1.5694572234353374,optimal,optimal
32,19,capacity,0.00041369999962626025,2.4599999960628338e-05,19,1,16.817073182454322,optimal,optimal
32,19,value,0.0004124000006413553,5.599998985417187e-06,19,0,73.64287059966894,optimal,optimal
32,19,volume,0.00022639999951934442,0.00023039999905449804,11,10,0.9826388908352058,optimal,optimal
33,12,capacity,0.0002565000013419194,2.5699999241624027e-05,12,1,9.980545093810312,optimal,optimal
33,12,value,0.0003192999993189005,6.399999620043673e-06,12,0,49.89062785549379,optimal,optimal
33,12,volume,0.00019330000031914096,0.00015549999989161734,9,6,1.2430868196390354,optimal,optimal
34,13,capacity,0.00024450000091746915,2.2899999748915434e-05,11,0,10.676856052325892,optimal,optimal
34,13,value,0.0002775000011752127,5.500000042957254e-06,12,0,50.454545274149815,optimal,optimal
34,13,volume,0.00019659999998111743,0.00014199999895936344,10,6,1.3845070522668035,optimal,optimal
35,16,capacity,0.0003414999991946388,4.219999937049579e-05,16,2,8.092417163242878,optimal,optimal
35,16,value,0.0003248000011808472,5.199999577598646e-06,15,0,62.461543762439966,optimal,optimal
35,16,volume,0.00018669999917619862,0.00018110000019078143,9,8,1.0309221368278179,optimal,optimal
36,18,capacity,0.0004332999997131992,5.649999911838677e-05,18,1,7.669026663262205,optimal,optimal
36,18,value,0.0004430999997566687,5.899999450775795e-06,18,0,75.10170186514257,optimal,optimal
36,18,volume,0.0002265999992232537,0.0002460000014252728,10,10,0.9211382028877255,optimal,optimal
37,13,capacity,0.00029489999906218145,2.3800001144991256e-05,14,1,12.390755667011536,optimal,optimal
37,13,value,0.0002750000003288733,5.500000042957254e-06,13,0,49.99999966927466,optimal,optimal
37,13,volume,0.00017949999892152846,0.00017389999993611127,9,8,1.0322024093586806,optimal,optimal
